window_id,scenario,seed,n,attack_fraction,novel_replacement,drift_share,uncorrected_drift_share,mean_ks,max_ks,macro_f1,attack_recall,benign_fpr,roc_auc,tn,fp,fn,tp,n_BENIGN,recall_BENIGN,n_DDoS,recall_DDoS,n_PortScan,recall_PortScan,n_BruteForce,recall_BruteForce,n_WebAttacks,recall_WebAttacks
S0_n1000_s2022,S0,2022,1000,0.3,0.0,0.0,0.0,0.020926923076923096,0.03760000000000008,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2023,S0,2023,1000,0.3,0.0,0.0,0.0,0.024096153846153854,0.04159999999999997,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2024,S0,2024,1000,0.3,0.0,0.0,0.0,0.028557692307692315,0.04520000000000002,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S1_a15_n500_s42,S1_a15,42,500,0.15,0.0,0.5961538461538461,0.6538461538461539,0.07284230769230769,0.131,1.0,1.0,0.0,1.0,425,0,0,75,425,1.0,75,1.0,0,,0,,0,
S1_a15_n500_s123,S1_a15,123,500,0.15,0.0,0.7115384615384616,0.7307692307692307,0.08142692307692306,0.14259999999999995,1.0,1.0,0.0,1.0,425,0,0,75,425,1.0,75,1.0,0,,0,,0,
S1_a15_n500_s456,S1_a15,456,500,0.15,0.0,0.5192307692307693,0.6346153846153846,0.06779615384615385,0.1492,1.0,1.0,0.0,1.0,425,0,0,75,425,1.0,75,1.0,0,,0,,0,
S1_a15_n500_s789,S1_a15,789,500,0.15,0.0,0.7115384615384616,0.7115384615384616,0.08205769230769232,0.13740000000000002,1.0,1.0,0.0,1.0,425,0,0,75,425,1.0,75,1.0,0,,0,,0,
S1_a15_n500_s1024,S1_a15,1024,500,0.15,0.0,0.7884615384615384,0.8461538461538461,0.08563461538461538,0.1326,1.0,1.0,0.0,0.9999999999999999,425,0,0,75,425,1.0,75,1.0,0,,0,,0,
S1_a15_n1000_s42,S1_a15,42,1000,0.15,0.0,0.6923076923076923,0.7307692307692307,0.06525769230769231,0.11380000000000001,1.0,1.0,0.0,1.0,850,0,0,150,850,1.0,150,1.0,0,,0,,0,
S1_a15_n1000_s123,S1_a15,123,1000,0.15,0.0,0.8076923076923077,0.8076923076923077,0.07590384615384617,0.131,1.0,1.0,0.0,1.0,850,0,0,150,850,1.0,150,1.0,0,,0,,0,
S1_a15_n1000_s456,S1_a15,456,1000,0.15,0.0,0.75,0.7692307692307693,0.06409615384615387,0.12320000000000003,1.0,1.0,0.0,1.0,850,0,0,150,850,1.0,150,1.0,0,,0,,0,
S1_a15_n1000_s789,S1_a15,789,1000,0.15,0.0,0.6730769230769231,0.75,0.06557307692307696,0.11980000000000002,1.0,1.0,0.0,1.0,850,0,0,150,850,1.0,150,1.0,0,,0,,0,
S1_a15_n1000_s1024,S1_a15,1024,1000,0.15,0.0,0.7884615384615384,0.8076923076923077,0.07497692307692307,0.11959999999999998,1.0,1.0,0.0,1.0,850,0,0,150,850,1.0,150,1.0,0,,0,,0,
S1_a50_n500_s42,S1_a50,42,500,0.5,0.0,0.6923076923076923,0.6923076923076923,0.08775384615384615,0.16600000000000004,1.0,1.0,0.0,0.9999999999999999,250,0,0,250,250,1.0,250,1.0,0,,0,,0,
S1_a50_n500_s123,S1_a50,123,500,0.5,0.0,0.7692307692307693,0.7692307692307693,0.10207307692307693,0.15800000000000003,1.0,1.0,0.0,1.0,250,0,0,250,250,1.0,250,1.0,0,,0,,0,
S1_a50_n500_s456,S1_a50,456,500,0.5,0.0,0.7692307692307693,0.7692307692307693,0.10816153846153845,0.1594,1.0,1.0,0.0,1.0,250,0,0,250,250,1.0,250,1.0,0,,0,,0,
S1_a50_n500_s789,S1_a50,789,500,0.5,0.0,0.7884615384615384,0.7884615384615384,0.10627307692307689,0.16740000000000005,1.0,1.0,0.0,0.9999999999999999,250,0,0,250,250,1.0,250,1.0,0,,0,,0,
